Year,Month,"Unemployment rates by State, not seasonally adjusted"
2003,December,5.2
2003,February,6.0
2003,January,6.1
2003,July,5.8
2003,Jun,6.0
2003,March,5.9
2003,May,5.4
2003,November,5.2
2003,October,5.1
2003,September,5.3
2004,April,5.1
2004,August,5.0
2004,December,5.0
2004,February,5.8
2004,January,6.0
2004,July,5.3
2004,Jun,5.5
2004,March,5.7
2004,May,5.0
2004,November,4.9
2004,October,4.8
2004,September,4.8
2005,April,4.8
2005,August,4.7
2005,December,4.6
2005,February,5.6
2005,January,5.6
2005,July,4.9
2005,Jun,5.1
2005,March,5.3
2005,May,4.7
2005,November,4.7
2005,October,4.6
2005,September,4.7
2006,April,4.4
2006,August,4.4
2006,December,4.2
2006,February,5.0
2006,January,5.1
2006,July,4.7
2006,Jun,4.6
2006,March,4.7
2006,May,4.3
2006,November,4.1
2006,October,3.9
2006,September,4.2
2007,April,4.1
2007,August,4.3
2007,December,4.5
2007,February,4.8
2007,January,4.9
2007,July,4.5
2007,Jun,4.5
2007,March,4.4
2007,May,4.1
2007,November,4.2
2007,October,4.1
2007,September,4.2
2008,April,4.5
2008,August,5.5
2008,December,6.7
2008,February,5.0
2008,January,5.1
2008,July,5.5
2008,Jun,5.3
2008,March,5.0
2008,May,4.8
2008,November,5.9
2008,October,5.6
2008,September,5.4
2009,April,8.1
2009,August,8.7
2009,December,8.9
2009,February,8.3
2009,January,8.0
2009,July,8.8
2009,Jun,8.9
2009,March,8.5
2009,May,8.4
2009,November,8.5
2009,October,8.5
2009,September,8.5
2010,April,8.7
2010,August,8.6
2010,December,8.5
2010,February,9.6
2010,January,9.7
2010,July,8.7
2010,Jun,8.8
2010,March,9.4
2010,May,8.5
2010,November,8.4
2010,October,8.1
2010,September,8.3
2011,April,8.0
2011,August,8.1
2011,December,7.7
2011,February,8.9
2011,January,9.1
2011,July,8.3
2011,Jun,8.5
2011,March,8.5
2011,May,8.0
2011,November,7.5
2011,October,7.7
2011,September,7.9
2012,April,7.1
2012,August,7.4
2012,December,7.2
2012,February,8.1
2012,January,8.2
2012,July,7.7
2012,Jun,7.7
2012,March,7.7
2012,May,7.2
2012,November,6.7
2012,October,6.8
2012,September,6.9
2013,April,6.6
2013,August,6.6
2013,December,6.2
2013,February,7.5
2013,January,7.9
2013,July,6.9
2013,Jun,7.1
2013,March,7.1
2013,May,6.6
2013,November,6.1
2013,October,6.3
2013,September,6.4
2014,April,5.6
2014,August,5.8
2014,December,5.2
2014,February,6.6
2014,January,6.7
2014,July,6.0
2014,Jun,5.9
2014,March,6.4
2014,May,5.7
2014,November,5.2
2014,October,5.2
2014,September,5.4
2015,April,4.9
2015,August,4.9
2015,December,4.7
2015,February,5.6
2015,January,5.9
2015,July,5.2
2015,Jun,5.2
2015,March,5.4
2015,May,5.0
2015,November,4.6
2015,October,4.6
2015,September,4.6
2016,April,4.5
2016,February,5.1
2016,January,5.2
2016,July,4.9
2016,Jun,4.9
2016,March,5.0
2016,May,4.4
